Month,Item Name,Count,Amount
August,Beef Ramen,328,5032.52
August,Beef Tossed Ramen,214,3166.6
August,Mai's BF Chicken Cutlet Combo,201,3047.09
August,Chicken Ramen,181,2613.36
August,Pork Ramen,173,2413.66
August,Beef Tossed Rice Noodle,146,2343.52
August,Sichuan Chili Wontons,181,2027.16
August,Chicken Rice Noodle Soup,132,1922.45
August,Beef Rice Noodle Soup,123,1889.06
August,House Ramen,112,1830.92
August,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",129,1761.18
August,Chicken Tossed Rice Noodles,115,1648.14
August,Mai Special Fried Chicken(8),157,1538.48
August,Pork Tossed Ramen,116,1553.8
August,Chicken Fried Rice,130,1568.64
August,Pork Tossed Rice Noodle,100,1355.56
August,Chicken Tossed Ramen,101,1439.54
August,Steamed Pork Buns,233,1190.88
August,Shrimp Fried Rice,87,1113.51
August,Beef Fried Rice,75,992.82
August,Fried Pork Dumplings(10),108,970.51
August,House Rice Noodle Soup,61,997.21
August,House Fried Rice,72,1004.67
August,Pork Rice Noodle Soup,63,889.57
August,Steam Pork Dumplings(10),106,948.27
August,Vegetable Ramen,50,684.06
August,Cream Cheese Rangoon(6),117,716.65
August,Brown Sugar Milk Tea w. boba,149,601.79
August,House Tossed Rice Noodle,35,560.46
August,Citrus Honey Fried Chicken  (8),53,536.24
August,Tempura Shrimp(3),102,487.66
August,Mai's Golden Flake Fried Chicken(8),50,533.85
August,Crispy Spring Roll(3),132,523.04
August,Chili Pepper Fried Chicken（8）,51,509.24
August,House Tossed Ramen,27,443.31
August,Spicy Cucumber Salad,69,378.5
August,Mai BF Chicken Cutlet Combo,20,347.38
August,Vegetable Rice Noodle Soup,25,355.64
August,Vegetable Fried Rice,31,361.06
August,Pork Fried Rice,27,344.44
August,Jumbo Chicken Tenders Combo (3),39,378.75
August,Golden Coconut Crunch Chicken(8),33,339.86
August,Wonton Soup,30,328.39
August,Crispy Pork Egg Roll(3),75,295.23
August,Vegetable Tossed Rice Noodle,24,324.97
August,Vegetable Tossed Ramen,22,305.12
August,Mai OG Fried Chicken Wings(4),51,274.32
August,Brown Sugar Rice Cake (5),54,289.82
August,Tangy Honey Mustard Fried Chicken (8),28,259.41
August,Sweet Sesame Ball (6) w. red bean,48,223.93
August,Strawberry Sunrise,61,249.01
August,Mai's BF Chicken Cutlet,29,218.02
August,Onion Glory Fried Chicken(8),23,237.88
August,Golden Kiwi,49,203.94
August,Mai Buffalo Chicken Wings(8),22,214.18
August,Crispy French Fries(LG),43,168.35
August,Steam Pork Bun （3）,16,113.94
August,Hot Tea,35,103.03
August,Brown Sugar Milk Tea,22,99.33
August,Strawberry Jas-Lemonade,23,94.87
August,BF chicken cutlet combo,7,92.5
August,Mango Jas-Lemonade,17,72.87
August,Plain Fried Rice,18,80.25
August,White Rice - DINE IN,48,73.59
August,Jumbo Chicken Tenders(3),10,61.24
August,Ramen,17,41.2
August,Pork Bun (3),6,35.94
August,Chunked Beef,10,39.28
August,Rice Noodle,15,36.91
August,Braised Pork,9,29.82
August,Braised Egg （2 half）,15,26.3
August,White Rice,9,26.92
August,BF chicken cutlet,2,15
August,Braised Chicken,5,14.2
August,Chili Pepper Fried Chicken (8),1,11.99
August,Tangy Honey Mustard Fried Chicken(8),1,11.99
August,Bottled Water,7,12.64
August,Wasabi Spiced Fried Chicken (8),1,9.99
August,Shrimp (8),4,12.84
August,White Rice-To Go,3,9.5
August,Crispy French Fries,2,7.98
August,Jumbo Chicken Tender (3),1,5.5
August,Pork Bun (1),1,2.25
August,Sliced Fruit  - 5 day expiration,17,0
August,Braised Chicken - 5 days exp,4,0
August,Chunked Pork - 5 days exp,2,0
August,Chunked Beef - 5 days exp,8,0
August,Braised Egg,2,3.89
