Month,Item Name,Count,Amount
June,Beef Tossed Ramen,286,4248.69
June,Beef Ramen,195,2907.79
June,Chicken Rice Noodle Soup,153,2196.39
June,Beef Tossed Rice Noodle,113,1771.24
June,BF chicken cutlet combo,142,1722.24
June,Pork Tossed Ramen,134,1769.95
June,Chicken Ramen,117,1724.75
June,Beef Rice Noodle Soup,81,1241.45
June,Mai Special Fried Chicken(8),127,1283.91
June,Chicken Tossed Rice Noodles,78,1176.77
June,Sichuan Chili Wontons,103,1187.4
June,Chicken Tossed Ramen,81,1138.02
June,House Ramen,65,1077.79
June,Pork Ramen,77,1034.83
June,Golden Coconut Crunch Chicken(8),71,715.74
June,Mai's Golden Flake Fried Chicken(8),66,660.27
June,Chicken Fried Rice,47,588.99
June,Fried Pork Dumplings(10),63,576.99
June,House Fried Rice,37,560.07
June,Mai OG Fried Chicken Wings(4),112,566.58
June,Cream Cheese Rangoon(6),95,555.17
June,Pork Tossed Rice Noodle,43,575.37
June,Crispy Pork Egg Roll(3),121,482.76
June,Crispy Spring Roll(3),119,475.5
June,Steam Pork Dumplings(10),54,475.34
June,Pork Rice Noodle Soup,29,389.42
June,Tempura Shrimp(3),83,407.11
June,Vegetable Ramen,25,362.99
June,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",24,302.59
June,Onion Glory Fried Chicken(8),31,307.44
June,House Rice Noodle Soup,20,339.85
June,Spicy Cucumber Salad,47,252.68
June,Golden kiwi,62,226.72
June,Shrimp Fried Rice,18,249.85
June,Citrus Honey Fried Chicken  (8),24,241.8
June,Beef Fried Rice,18,243.61
June,BF chicken cutlet,33,222.28
June,Mai Buffalo Chicken Wings(8),21,207.85
June,Vegetable Rice Noodle Soup,15,198.84
June,Vegetable Fried Rice,14,171.38
June,Pork Fried Rice,12,153.56
June,Pork Bun (3),28,159.05
June,Brown Sugar Rice Cake (5),22,119.12
June,Jumbo Chicken Tender (3),21,118.76
June,Vegetable Tossed Rice Noodle,8,113.36
June,Crispy French Fries,36,140.51
June,Mai's Wing Wheel,8,99.79
June,Tangy Honey Mustard Fried Chicken (8),12,111.7
June,Sweet Sesame Ball (6) w. red bean,20,94.8
June,Chili Pepper Fried Chicken（8）,7,69
June,Wasabi Spiced Fried Chicken (8),7,68.93
June,Vegetable Tossed Ramen,7,99.05
June,Braised Chicken Thigh,21,66.77
June,Mai BF Chicken Cutlet Combo,5,70
June,Chili Pepper Fried Chicken (8),4,45.96
June,Cream Cheese Wonton（6）,7,38.93
June,Rice Noodle,25,37.73
June,Wasabi Spiced Fried Chicken(8),3,33.97
June,White Rice - DINE IN,35,34.5
June,White Rice,7,26.6
June,Plain Fried Rice,8,29.99
June,House Tossed Rice Noodle,1,15.99
June,House Tossed Ramen,2,31.98
June,Crispy French Fries(LG),3,14.37
June,Braised Chicken,4,11.88
June,Pork Bun (1),5,10.01
June,Tangy Honey Mustard Fried Chicken(8),3,33.97
June,Ramen,6,8.55
June,Braised Egg,4,8.36
June,Chunked Beef,2,7.87
June,Braised Pork,2,5.87
June,Shrimp (8),2,5.25
June,Braised Egg （2）,1,1.94
June,White Rice-To Go,1,1.75
