Month,Item Name,Count,Amount
May,Beef Tossed Ramen,468,6921.26
May,Beef Ramen,339,5045.65
May,Pork Tossed Ramen,260,3526.47
May,Chicken Rice Noodle Soup,233,3303.84
May,Chicken Ramen,222,3313
May,Mai Special Fried Chicken(8),309,3089.87
May,Beef Tossed Rice Noodle,195,3102.44
May,Chicken Tossed Ramen,200,2906.3
May,Beef Rice Noodle Soup,147,2316.04
May,Pork Ramen,131,1845.21
May,Chicken Tossed Rice Noodles,118,1726.89
May,House Ramen,91,1474.52
May,Mai's Golden Flake Fried Chicken(8),138,1378.05
May,Fried Pork Dumplings(10),119,1063.71
May,Pork Tossed Rice Noodle,72,992.7
May,Golden Coconut Crunch Chicken(8),96,982.35
May,Pork Rice Noodle Soup,72,986.46
May,Chicken Fried Rice,80,1000.1
May,Mai OG Fried Chicken Wings(4),193,960.71
May,Steam Pork Dumplings(10),94,819.22
May,Crispy Spring Roll(3),185,726.44
May,House Rice Noodle Soup,42,684.02
May,House Fried Rice,46,692.23
May,Tempura Shrimp(3),138,674.01
May,Crispy Pork Egg Roll(3),162,651.24
May,Onion Glory Fried Chicken(8),59,589.13
May,Sichuan Chili Wontons,50,546.94
May,Vegetable Ramen,33,440
May,Vegetable Rice Noodle Soup,30,408.55
May,Citrus Honey Fried Chicken  (8),43,434.87
May,Beef Fried Rice,28,377.5
May,Shrimp Fried Rice,29,389.91
May,Mai Buffalo Chicken Wings(8),35,346.69
May,Cream Cheese Wonton（6）,60,352.83
May,Spicy Cucumber Salad,46,249.14
May,Cream Cheese Rangoon(6),47,263.68
May,Pork Fried Rice,17,213.55
May,Crispy French Fries,47,184.56
May,BF chicken cutlet combo,20,242.53
May,Wasabi Spiced Fried Chicken (8),16,158.84
May,Tangy Honey Mustard Fried Chicken (8),19,186.57
May,Vegetable Fried Rice,14,177
May,Vegetable Tossed Ramen,11,153.95
May,Wasabi Spiced Fried Chicken(8),12,138.88
May,Tangy Honey Mustard Fried Chicken(8),11,129.49
May,Chili Pepper Fried Chicken（8）,13,129.11
May,Braised Chicken Thigh,36,106.77
May,Vegetable Tossed Rice Noodle,9,114.96
May,Brown Sugar Rice Cake,22,117.14
May,Jumbo Chicken Tender (3),19,90.93
May,House Tossed Rice Noodle,4,63.16
May,Chili Pepper Fried Chicken (8),6,62.94
May,White Rice - DINE IN,52,52.44
May,Crispy French Fries(LG),8,33.92
May,BF chicken cutlet,10,65.93
May,Plain Fried Rice,15,45.49
May,Rice Noodle,17,25.8
May,White Rice-To Go,6,21
May,Sweet Sesame Ball,5,25.02
May,White Rice,5,20.16
May,House Tossed Ramen,2,31.44
May,Chunked Beef,4,15.96
May,Braised Chicken,5,16.9
May,soup to go,7,10.47
May,Ramen,6,9
May,Mai‘s Special Sauce,11,10.72
May,Braised Pork,3,9.22
May,Shrimp,2,5.98
May,Braised Egg,2,4.3
May,Sweet Sesame Ball (6) w. red bean,1,4.5
