Month,Item Name,Count,Amount
September,Beef Ramen,362,5626.37
September,Mai's BF Chicken Cutlet Combo,285,4312.18
September,Pork Ramen,242,3360.22
September,Chicken Ramen,205,2976.79
September,Beef Tossed Ramen,188,2867.41
September,Beef Tossed Rice Noodle,154,2519.72
September,Mai Special Fried Chicken(8),210,2225.58
September,Sichuan Chili Wontons,185,2054.87
September,House Ramen,119,1972.32
September,"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",144,1968.55
September,Chicken Rice Noodle Soup,133,1961.81
September,Chicken Fried Rice,148,1849.24
September,Beef Rice Noodle Soup,115,1807.11
September,Pork Tossed Ramen,137,1810.77
September,Pork Tossed Rice Noodle,115,1563.27
September,Chicken Tossed Rice Noodles,104,1523.75
September,Steamed Pork Buns,321,1423.98
September,Pork Rice Noodle Soup,95,1299.33
September,Chicken Tossed Ramen,98,1399.24
September,House Rice Noodle Soup,81,1301.92
September,House Fried Rice,84,1206.15
September,Shrimp Fried Rice,84,1112.14
September,Fried Pork Dumplings(10),111,1013.36
September,Steam Pork Dumplings(10),116,1011.17
September,Cream Cheese Rangoon(6),148,938.89
September,Beef Fried Rice,63,831.05
September,Vegetable Fried Rice,32,672.43
September,Crispy Spring Roll(3),133,674.23
September,Vegetable Ramen,49,679.6
September,House Tossed Rice Noodle,39,646.75
September,Mai's Golden Flake Fried Chicken(8),56,596.99
September,House Tossed Ramen,35,568
September,Wonton Soup,48,538.02
September,Pork Fried Rice,40,534.8
September,Citrus Honey Fried Chicken  (8),48,489.69
September,Golden Coconut Crunch Chicken(8),45,454.18
September,Tempura Shrimp(3),95,473.75
September,Vegetable Rice Noodle Soup,30,440.89
September,Chili Pepper Fried Chicken（8）,44,449.47
September,Spicy Cucumber Salad,75,412.16
September,Vegetable Tossed Rice Noodle,29,391.93
September,Mai's BF Chicken Cutlet,54,384.46
September,Mai BF Chicken Cutlet Combo,22,386.37
September,Brown Sugar Rice Cake (5),68,363.09
September,Vegetable Tossed Ramen,25,335.76
September,Mai OG Fried Chicken Wings(4),56,305.06
September,Crispy Pork Egg Roll(3),72,294.48
September,Onion Glory Fried Chicken(8),28,283.72
September,Jumbo Chicken Tenders Combo (3),26,272.32
September,Mai Buffalo Chicken Wings(8),27,274.23
September,Steam Pork Bun （3）,33,223.69
September,Crispy French Fries(LG),52,207.76
September,Sweet Sesame Ball (6) w. red bean,43,211.83
September,Tangy Honey Mustard Fried Chicken (8),18,181.85
September,Braised Chicken,4,109.59
September,Jumbo Chicken Tenders(3),18,109.98
September,Chunked Beef,8,106.24
September,Plain Fried Rice,25,103.28
September,White Rice,27,80.94
September,White Rice - DINE IN,42,62.75
September,Orange Crush,18,47.42
September,Rice Noodle,17,45.55
September,Ramen,13,32.18
September,Braised Egg （2 half）,16,27.74
September,Blueberry Jas-Lemonade,5,24.73
September,Braised Pork,4,12.68
September,Tropical Jas-Lemonade,3,12.62
September,Braised Egg,3,6.42
September,White Rice-To Go,2,4.5
September,House Tossed Rice Noodle,1,15.99
